FID,X,Y
572,-118.2524891,33.89863147
3760,-118.3057105,33.93543276
4181,-118.1433513,34.67190999
4205,-118.2723508,33.81888812
4261,-117.9018319,34.1099187
4529,-118.2929957,33.92197974
6668,-118.1247253,34.70369131
7075,-118.0772999,33.89196854
7810,-117.9989105,34.05096757
9475,-118.160044,33.89632108
10255,-118.2285803,33.88464153
12092,-118.0473246,34.73397612
12158,-117.9610701,34.00946252
12276,-118.0393588,33.95386916
16738,-118.2356049,33.90417501
17740,-118.1425372,33.87113086
20663,-117.9774182,33.90883356
23321,-118.080465,33.86852847
34756,-118.2085418,33.92815894
35168,-118.2172361,33.89539303
36844,-118.0862992,34.56963144
36991,-117.9723597,34.54095654
37423,-118.2102205,33.93337545
38896,-118.0792609,34.6822713
39004,-117.903762,34.09872429
42224,-118.1875591,33.92004624
44245,-118.0660142,34.57108474
44287,-118.2232583,33.93367435
49292,-118.2683073,33.82839468
51211,-118.1808007,34.01670259
56865,-118.1581724,34.187249
59958,-118.2478942,33.97207688
60362,-118.3773748,34.09026588
60968,-118.2446033,33.96187015
61014,-118.1003022,33.88719268
65403,-118.0700275,34.57460083
69628,-118.0585199,34.04937186
71179,-118.2633789,33.81407149
74489,-118.1462632,34.02238558
74491,-118.1628039,34.02036437
75274,-118.2110163,33.89983497
76152,-118.2367858,33.88489487
77291,-118.2517412,33.98714733
83001,-118.4566586,33.97914957
83608,-118.2383645,33.95994977
87060,-118.2463684,33.89410625
87480,-118.2534669,33.85379862
90534,-118.2655816,33.90975872
91588,-118.2050282,33.90349482
97046,-118.1006213,34.69248653
101139,-118.2119308,33.89029764
101241,-118.2918162,33.95458282
101918,-118.1340517,34.01337157
102042,-118.2089162,33.91141583
102274,-118.2039228,33.8889961
103848,-118.2958902,33.95689683
104090,-118.1921277,33.90338981
104107,-118.2274806,33.8872825
104726,-118.2020757,33.89813818
105947,-118.2218467,33.88229677
106584,-118.2414381,33.98108128
107150,-118.3008402,33.94395574
108873,-118.2986127,33.95303722
110345,-118.2497832,33.95822383
115571,-118.1933768,33.88840831
118648,-118.2633449,33.81545158
120697,-118.2462742,33.92593783
121932,-118.2564575,33.87249848
124399,-118.1635806,34.02154979
125246,-118.3084492,33.91921052
130479,-118.0958418,33.91300185
132069,-118.0693291,34.13036747
134718,-118.1421383,33.88512218
138275,-118.3812758,34.07690679
138745,-118.0247709,33.88321022
138754,-118.1003022,33.88719268
140409,-118.2266324,33.89309676
146066,-117.9019802,33.99173876
151872,-118.265252,33.92799304
157968,-118.247481,33.97134694
163979,-118.0988199,34.68588928
164252,-118.246718,33.975209
170842,-118.0623467,34.56166788
176893,-118.0741037,33.82564889
177349,-117.8610491,34.02181087
180375,-118.2249027,33.91540828
182254,-118.2465513,33.88672889
187233,-118.0868634,34.55258077
189304,-118.1552483,34.03028058
189306,-118.1656767,34.02038612
189311,-118.1765684,34.05633326
189319,-118.1915865,34.03867904
189321,-118.1436514,34.01362149
191248,-118.0790232,33.83814826
191772,-118.2238217,33.91164989
192909,-118.2070195,33.90341465
193145,-117.9133939,34.01230775
193418,-118.0818712,33.92439384
194060,-118.1699913,34.02617629
200216,-118.2329913,33.95369938
200235,-118.225052,33.97316936
201963,-117.7129861,34.49848291
204306,-118.2495542,33.96786602
204791,-118.0805524,33.83777938
208075,-118.2551584,33.89922454
208121,-118.0624482,33.97993784
208142,-118.2708612,33.91588241
210295,-118.2612379,33.91609434
210403,-118.2070015,33.88863922
210415,-118.3090342,33.93911583
210446,-118.2412642,33.85248431
211219,-117.8653653,34.01585014
211271,-118.1899267,33.91420461
211972,-118.4650822,34.42225787
212291,-118.2650141,33.90595341
213553,-117.9871851,34.1291239
213885,-118.1345522,34.70397393
215103,-118.3038507,33.94305143
216198,-118.1907039,33.88955852
217695,-118.2574597,33.88134676
218031,-118.5131526,34.37304438
218035,-118.4150077,34.3944539
218036,-118.4924813,34.41632835
219590,-118.2317866,33.88713237
219763,-118.2397486,33.91038119
220014,-118.2786446,33.91976019
220331,-118.1003022,33.88719268
220720,-118.2420592,33.96258784
220755,-118.5697776,34.24151023
220798,-118.1444827,34.58345363
220820,-118.2967193,33.9551694
220982,-118.2414384,33.97928156
221339,-118.2507141,33.92925021
222287,-118.2694105,33.91562898
222453,-118.2578983,33.89575732
222458,-118.1403044,33.87368136
222470,-118.2014832,33.90961828
222475,-118.0724594,33.82587072
222530,-118.1892335,34.68388795
223144,-118.2068533,33.92556144
223172,-118.0405485,34.575065
223393,-118.1978721,33.93468308
223638,-118.2702849,33.90288704
223860,-118.0768412,33.89197208
223954,-118.1626796,34.02081067
223963,-117.9756912,33.97868998
225076,-118.2398118,33.89943125
226540,-118.1774568,34.04048281
226545,-118.159936,34.04054435
226983,-118.2974376,33.93756553
227138,-118.0820617,34.04090626
227150,-118.0983378,34.04843631
227217,-118.2506028,33.92614447
227360,-118.2893872,33.818128
227439,-118.3125845,33.96896956
229082,-118.7736803,34.7746659
230003,-118.3659122,33.93354807
230213,-118.196503,33.89632866
230775,-118.2669151,33.91647605
230779,-118.0707402,33.97186836
230785,-118.1551107,33.90679578
230865,-118.002704,34.04351774
230931,-118.2716846,33.82488687
231123,-117.9014153,34.00747202
231430,-118.2170263,33.91120577
231460,-118.4782471,34.44747333
232007,-118.3669467,33.93720903
233591,-118.0426543,33.93155393
233629,-118.2367794,33.86787883
233873,-118.1452759,34.02528395
234059,-118.1544792,33.9053426
234208,-118.2825377,33.92917199
234405,-118.1922379,33.9662218
234409,-118.2426293,33.90422883
234426,-118.2322501,33.9231124
234449,-118.2921735,33.93432003
234453,-118.299973,33.95058762
234913,-118.2452085,33.96075237
235589,-118.1229799,34.68292998
235618,-118.1908279,34.02409584
235640,-117.8391168,33.96722743
235700,-118.2390822,33.91405983
235905,-117.9749848,34.01395977
235982,-118.2555238,33.96994431
235984,-118.2627884,33.91028798
235992,-118.2094498,33.91238973
236096,-118.0847197,33.86696268
236526,-118.0717683,34.10014034
236699,-118.1915371,33.89688161
236776,-117.9172388,34.02640156
237322,-118.2453563,33.97044253
238471,-118.2196759,33.83168892
238543,-118.0482812,33.89954469
238564,-118.065371,34.01779228
238804,-118.2038816,33.88843996
238813,-118.0788414,34.56023905
238834,-118.1626711,34.0068187
239159,-118.0301346,34.04689119
239169,-118.1910356,34.02411855
239805,-118.0901729,33.96181096
239811,-118.0720637,33.90876794
240110,-118.1933154,33.99416832
240302,-118.2144738,33.92513421
240305,-118.247673,33.95440317
240355,-117.8440237,34.08572105
240431,-118.2765721,33.86533766
240940,-118.150022,33.8715889
240957,-117.9863379,34.12577319
241042,-118.2505394,33.88859557
241044,-118.1768136,33.96218142
241090,-118.2072363,33.83812604
241096,-118.1775062,33.89628083
